Column1,State/UT,Parliamentary Constituency,Party Name,Winning Candidate,Total Votes,Margin
115,Gujarat,Navsari(25),Bharatiya Janata Party(BJP),C R PATIL,1031065,773551
116,Gujarat,Panchmahal(18),Bharatiya Janata Party(BJP),RAJPALSINH MAHENDRASINH JADAV,794579,509342
117,Gujarat,Patan(3),Bharatiya Janata Party(BJP),DABHI  BHARATSINHJI  SHANKARJI,591947,31876
118,Gujarat,Porbandar(11),Bharatiya Janata Party(BJP),DR. MANSUKH MANDAVIYA,633118,383360
119,Gujarat,Rajkot(10),Bharatiya Janata Party(BJP),PARSHOTTAMBHAI RUPALA,857984,484260
120,Gujarat,Sabarkantha(5),Bharatiya Janata Party(BJP),SHOBHANABEN MAHENDRASINH BARAIYA,677318,155682
121,Gujarat,Surat(24),Bharatiya Janata Party(BJP),MUKESHKUMAR CHANDRAKAANT DALAL (Uncontested),-,-
122,Gujarat,Surendranagar(9),Bharatiya Janata Party(BJP),CHANDUBHAI CHHAGANBHAI SHIHORA,669749,261617
123,Gujarat,Vadodara(20),Bharatiya Janata Party(BJP),DR. HEMANG JOSHI,873189,582126
124,Gujarat,Valsad(26),Bharatiya Janata Party(BJP),DHAVAL LAXMANBHAI PATEL,764226,210704
125,Haryana,BHIWANI-MAHENDRAGARH(8),Bharatiya Janata Party(BJP),DHARAMBIR SINGH,588664,41510
126,Haryana,FARIDABAD(10),Bharatiya Janata Party(BJP),KRISHAN PAL,788569,172914
127,Haryana,GURGAON(9),Bharatiya Janata Party(BJP),RAO INDERJIT SINGH,808336,75079
128,Haryana,HISAR(4),Indian National Congress (INC),JAI PARKASH (J P) S/O HARIKESH,570424,63381
129,Haryana,KARNAL(5),Bharatiya Janata Party(BJP),MANOHAR LAL,739285,232577
130,Haryana,KURUKSHETRA(2),Bharatiya Janata Party(BJP),NAVEEN JINDAL,542175,29021
131,Haryana,ROHTAK(7),Indian National Congress (INC),DEEPENDER SINGH HOODA,783578,345298
132,Haryana,SIRSA(3),Indian National Congress (INC),SELJA,733823,268497
133,Haryana,SONIPAT(6),Indian National Congress (INC),SATPAL BRAHAMCHARI,548682,21816
134,Haryana,AMBALA(1),Indian National Congress (INC),VARUN CHAUDHRY,663657,49036
135,Himachal Pradesh,HAMIRPUR(3),Bharatiya Janata Party(BJP),ANURAG SINGH THAKUR,607068,182357
136,Himachal Pradesh,KANGRA(1),Bharatiya Janata Party(BJP),DR RAJEEV BHARDWAJ,632793,251895
137,Himachal Pradesh,MANDI(2),Bharatiya Janata Party(BJP),KANGNA RANAUT,537022,74755
138,Himachal Pradesh,SHIMLA(4),Bharatiya Janata Party(BJP),Suresh Kumar Kashyap,519748,91451
139,Jammu & Kashmir,ANANTNAG-RAJOURI(3),Jammu & Kashmir National Conference - JK,MIAN ALTAF AHMAD,521836,281794
140,Jammu & Kashmir,BARAMULLA(1),Independent - IND,ABDUL RASHID SHEIKH,472481,204142
141,Jammu & Kashmir,JAMMU(5),Bharatiya Janata Party(BJP),JUGAL KISHORE,687588,135498
142,Jammu & Kashmir,Ladakh(1),Independent - IND,MOHMAD HANEEFA,65259,27862
143,Jammu & Kashmir,SRINAGAR(2),Jammu & Kashmir National Conference - JK,AGA SYED RUHULLAH MEHDI,356866,188416
144,Jammu & Kashmir,UDHAMPUR(4),Bharatiya Janata Party(BJP),DR JITENDRA SINGH,571076,124373
145,Jharkhand,Chatra(4),Bharatiya Janata Party(BJP),KALI CHARAN SINGH,574556,220959
146,Jharkhand,Dhanbad(7),Bharatiya Janata Party(BJP),DULU MAHATO,789172,331583
147,Jharkhand,Dumka(2),jmm,NALIN SOREN,547370,22527
148,Jharkhand,Giridih(6),AJSU Party - AJSUP,CHANDRA PRAKASH CHOUDHARY,451139,80880
149,Jharkhand,Gonda(59),Bharatiya Janata Party(BJP),KIRTIVARDHAN SINGH,474258,46224
150,Jharkhand,Hazaribagh(14),Bharatiya Janata Party(BJP),MANISH JAISWAL,654613,276686
151,Jharkhand,Jamshedpur(9),Bharatiya Janata Party(BJP),BIDYUT BARAN MAHATO,726174,259782
152,Jharkhand,Khunti(11),Indian National Congress (INC),KALI CHARAN MUNDA,511647,149675
153,Jharkhand,Kodarma(5),Bharatiya Janata Party(BJP),ANNPURNA DEVI,791657,377014
154,Jharkhand,Lohardaga(12),Indian National Congress (INC),SUKHDEO BHAGAT,483038,139138
155,Jharkhand,Palamau(13),Bharatiya Janata Party(BJP),VISHNU DAYAL RAM,770362,288807
156,Jharkhand,Rajmahal(1),jmm,VIJAY KUMAR HANSDAK,613371,178264
157,Jharkhand,Ranchi(8),Bharatiya Janata Party(BJP),SANJAY SETH,664732,120512
158,Jharkhand,Singhbhum(10),jmm,JOBA MAJHI,520164,168402
159,Karnataka,Bagalkot(3),Bharatiya Janata Party(BJP),GADDIGOUDAR. PARVATAGOUDA. CHANDANAGOUDA.,671039,68399
160,Karnataka,Bangalore central(25),Bharatiya Janata Party(BJP),P C MOHAN,658915,32707
161,Karnataka,Bangalore North(24),Bharatiya Janata Party(BJP),SHOBHA KARANDLAJE,986049,259476
162,Karnataka,Bangalore Rural(23),Bharatiya Janata Party(BJP),DR C N MANJUNATH,1079002,269647
163,Karnataka,Bangalore South(26),Bharatiya Janata Party(BJP),TEJASVI SURYA,750830,277083
164,Karnataka,Belgaum(2),Bharatiya Janata Party(BJP),JAGADISH SHETTAR,762029,178437
165,Karnataka,Bellary(9),Indian National Congress (INC),E. TUKARAM,730845,98992
166,Karnataka,Bidar(7),Indian National Congress (INC),SAGAR ESHWAR KHANDRE,666317,128875
167,Karnataka,Bijapur(4),Bharatiya Janata Party(BJP),RAMESH JIGAJINAGI,672781,77229
168,Karnataka,Chamarajanagar(22),Indian National Congress (INC),SUNIL BOSE,751671,188706
169,Karnataka,Chikkballapur(27),Bharatiya Janata Party(BJP),DR.K.SUDHAKAR,822619,163460
170,Karnataka,Chikkodi(1),Indian National Congress (INC),PRIYANKA SATISH JARKIHOLI,713461,90834
171,Karnataka,Chitradurga(18),Bharatiya Janata Party(BJP),GOVIND MAKTHAPPA KARJOL,684890,48121
172,Karnataka,Dakshina Kannada(17),Bharatiya Janata Party(BJP),CAPTAIN BRIJESH CHOWTA,764132,149208
173,Karnataka,Davanagere(13),Indian National Congress (INC),DR. PRABHA MALLIKARJUN,633059,26094
174,Karnataka,Dharwad(11),Bharatiya Janata Party(BJP),PRALHAD JOSHI,716231,97324
175,Karnataka,Gulbarga(5),Indian National Congress (INC),RADHAKRISHNA,652321,27205
176,Karnataka,Hassan(16),Indian National Congress (INC),SHREYAS. M. PATEL,672988,42649
177,Karnataka,Haveri(10),Bharatiya Janata Party(BJP),BASAVARAJ BOMMAI,705538,43513
178,Karnataka,Kolar(28),Janata Dal (Secular) - JD(S),M. MALLESH BABU,691481,71388
179,Karnataka,Koppal(8),Indian National Congress (INC),K. RAJASHEKAR BASAVARAJ HITNAL,663511,46357
180,Karnataka,Mandya(20),Janata Dal (Secular) - JD(S),H.D. KUMARASWAMY,851881,284620
181,Karnataka,Mysore(21),Bharatiya Janata Party(BJP),YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,795503,139262
182,Karnataka,Raichur(6),Indian National Congress (INC),G. KUMAR NAIK.,670966,79781
183,Karnataka,Shimoga(14),Bharatiya Janata Party(BJP),B.Y.RAGHAVENDRA,778721,243715
184,Karnataka,Tumkur(19),Bharatiya Janata Party(BJP),V. SOMANNA,720946,175594
185,Karnataka,Udupi Chikmagalur(15),Bharatiya Janata Party(BJP),KOTA SRINIVAS POOJARY,732234,259175
186,Karnataka,Uttara Kannada(12),Bharatiya Janata Party(BJP),VISHWESHWAR HEGDE KAGERI,782495,337428
187,kerla,Alappuzha(15),Indian National Congress (INC),K. C VENUGOPAL,404560,63513
188,kerla,Alathur (9),Communist Party of India (Marxist) - CPI(M),K.RADHAKRISHNAN,403447,20111
189,Kerla,Attingal(19),Indian National Congress (INC),ADV ADOOR PRAKASH,328051,684
190,Kerla,Chalakudy(11),Indian National Congress (INC),BENNY BEHANAN,394171,63754
191,Kerla,Ernakulam(12),Indian National Congress (INC),HIBI EDEN,482317,250385
192,Kerla,Idukki(13),Indian National Congress (INC),ADV. DEAN KURIAKOSE,432372,133727
193,Kerla,Kannur(2),Indian National Congress (INC),K. SUDHAKARAN,518524,108982
194,Kerla,Kasaragod(1),Indian National Congress (INC),RAJMOHAN UNNITHAN,490659,100649
195,Kerla,Kollam(18),Revolutionary Socialist Party - RSP,N K PREMACHANDRAN,443628,150302
196,Kerla,Kottayam(14),Kerala Congress - KEC,ADV K FRANCIS GEORGE,364631,87266
197,Kerla,Kozhikode(5),Indian National Congress (INC),M. K. RAGHAVAN,520421,146176
198,Kerla,Malappuram(6),Indian Union Muslim League - Indian Union Muslim League - IUML,E.T.  MOHAMMED BASHEER,644006,300118
199,Kerla,Mavelikkara (16),Indian National Congress (INC),KODIKUNNIL SURESH,369516,10868
200,Kerla,Palakkad(8),Indian National Congress (INC),V K SREEKANDAN,421169,75283
201,Kerla,Pathanamthitta(17),Indian National Congress (INC),ANTO ANTONY,367623,66119
202,Kerla,Ponnani(7),Indian Union Muslim League - IUML,DR. M.P ABDUSSAMAD SAMADANI,562516,235760
203,Kerla,Thiruvananthapuram(20),Indian National Congress (INC),SHASHI THAROOR,358155,16077
204,Kerla,Thrissur(10),Bharatiya Janata Party(BJP),SURESH GOPI,412338,74686
